_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3968,1979619,16239766,25,M,W,2016-12-26T20:20:00,"900 Block Vista ST Pittsburgh, PA 15212",9501 Bench Warrant,"900 Block Vista ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.995815668134,40.45871947591
6457,1982666,17045343,30,M,B,2017-03-13T01:26:00,"1300 Block 5th AV Pittsburgh, PA 15219",5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"1300 Block 5th AV Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.9881413924142,40.4384668348021
4886,1980726,17012896,36,M,W,2017-01-21T17:27:00,"Hall ST & Mitchell ST Pittsburgh, PA 15212",903 Criminal Conspiracy. / 3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 13(a)(32) Paraphernalia - Use or Possession,"Hall ST & Mitchell ST Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.0287890198412,40.4763293434446
4175,1979873,16242443,39,M,W,2016-12-31T19:45:00,"3200 Block Dawson ST Pittsburgh, PA 15213",13(a)(32) Paraphernalia - Use or Possession / 9998 Overdose Other,"3200 Block Dawson ST Pittsburgh, PA 15213",South Oakland,4,409,3,3,-79.9539839796714,40.4299129565834
5305,1981235,17021163,40,F,B,2017-02-03T19:37:00,"5900 Block Centre AV Pittsburgh, PA 15206",2702 Aggravated Assault. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,"5900 Block Centre AV Pittsburgh, PA 15206",East Liberty,5,1115,8,2,-79.9274088518959,40.4591906034404
1013,1975726,16168715,57,M,B,2016-09-07T11:55:00,"Market ST & 5th AV Pittsburgh, PA 15222",5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"Market ST & 5th AV Pittsburgh, PA 15222",Golden Triangle/Civic Arena,2,201,6,6,-80.002108774882,40.4413828947589
3754,1979342,16232715,23,M,B,2016-12-14T16:17:00,"Milwaukee ST & Herron AV Pittsburgh, PA 15219","3304 Criminal Mischief. / 3307 Institutional Vandalism. / 3925 Receiving Stolen Property. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 5121 Escape. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 3323 Stop Signs and Yield Signs. / 9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount / 4914 False Identification to Law Enforcement Authorities","Milwaukee ST & Herron AV Pittsburgh, PA 15219",Upper Hill,2,506,6,3,-79.9643773169086,40.4522710483076
1626,1976518,16185190,45,M,B,2016-10-02T11:30:00,"1400 Block Locust ST Pittsburgh, PA 15219",2701 Simple Assault. / 2702 Aggravated Assault. / 2706 Terroristic Threats. / 2709(a) Harassment. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5505 Public Drunkenness,"2400 Block Sarah ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,4,-79.9714072502308,40.4272225442515
1627,1976519,16185199,36,M,W,2016-10-01T03:06:00,"800 Block Allegheny AV Pittsburgh, PA 15233",3925 Receiving Stolen Property. / 1501 Drivers Required to be Licensed. / 13(a)(16) Possession of Controlled Substance / 3743 Accidents Involving Damage to Attended Veh. or Property,"400 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.0123365767722,40.4462630510384
3755,1979343,16232721,28,M,B,2016-12-14T16:55:00,"Liberty AV & Stanwix ST Pittsburgh, PA 15222",1543 Driving While Operating Privilege is Suspended or Revoked. / 3309 Driving on Roadways Laned for Traffic. / 9501 Bench Warrant,"Liberty AV & Stanwix ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.003897257618,40.4413713647946
5794,1981843,16190603,22,F,W,2017-02-28T13:12:00,"500 Block Caste DR Pittsburgh, PA 15236",9015 Failure To Appear/Arrest on Attachment Order,"5100 Block Ladora WY Pittsburgh, PA 15207",Hazelwood,4,1501,5,3,-79.947159880907,40.4063944197605
1628,1976520,16185211,57,M,B,2016-10-01T01:30:00,"7400 Block Race ST Pittsburgh, PA 15208",907 Possessing Instruments of Crime. / 2902 Unlawful Restraint. / 3922 Theft by Deception. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,"7400 Block Race ST Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.8912073602578,40.457630716648
5796,1981845,16200710,36,M,B,2017-02-27T16:00:00,"Marshall AV & Brighton RD Pittsburgh, PA 15214",9015 Failure To Appear/Arrest on Attachment Order,"300 Block W North AV Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.0096402728326,40.4549486918507
3892,1979525,16236161,34,M,W,2016-12-20T04:48:00,Zone 1,903 Criminal Conspiracy. / 3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 5505 Public Drunkenness / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,Zone 1,,1,,,,,
691,1974885,16154870,30,M,B,2016-08-18T19:48:00,"1800 Block Noblestown RD Pittsburgh, PA 15205",9501 Bench Warrant,"1800 Block Noblestown RD Pittsburgh, PA 15205",Westwood,6,2811,2,5,-80.0616106389789,40.4264271398628
5798,1981847,16212633,57,M,B,2017-02-27T12:12:00,"Cedar AV & East Ohio ST Pittsburgh, PA 15212",5505 Public Drunkenness / 13(a)(32) Paraphernalia - Use or Possession,"East Ohio ST & East ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.9978393515461,40.4539247715024
1014,1975727,16168725,27,M,W,2016-09-07T12:28:00,"10 Block Mitchell ST Pittsburgh, PA 15212",3701 Robbery. / 13(a)(32) Paraphernalia - Use or Possession,"10 Block Mitchell ST Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.0298621150587,40.4770183009667
3894,1979527,16236237,34,M,W,2016-12-20T09:18:00,"300 Block Blvd Of The Allies Pittsburgh, PA 15222",5123 Contraband. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"300 Block Blvd Of The Allies Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.0018533423449,40.4380911554516
5005,1980852,17018087,22,M,W,2017-01-30T02:45:00,"1300 Block Stem ST Pittsburgh, PA 15220","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","1300 Block Stem ST Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.0425177391396,40.4490649869604
5799,1981848,16212888,28,M,W,2017-02-23T15:57:00,"900 Block 2nd AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"Amanda AV & Borough ST Pittsburgh, PA 15210",Carrick,3,2902,4,4,-79.9890363129208,40.406418865152
1021,1975734,16166680,37,F,B,2016-09-04T10:21:00,"900 Block Millerdale ST Pittsburgh, PA 15201",2701 Simple Assault. / 3304 Criminal Mischief. / 4914 False Identification to Law Enforcement Authorities,"900 Block Millerdale ST Pittsburgh, PA 15201",Stanton Heights,5,1005,9,2,-79.9378156769676,40.4755844176517
1630,1976522,16182414,24,M,B,2016-09-26T20:45:00,"2000 Block Centre AV Pittsburgh, PA 15219",9501 Bench Warrant,"2000 Block Centre AV Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.9799790972965,40.4435809421476
24,1975398,16163197,22,M,W,2016-08-30T12:50:00,"2000 Block Wharton ST Pittsburgh, PA 15203","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","2000 Block Wharton ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,4,-79.9768133267008,40.4300208249454
2118,1977150,16192414,46,M,W,2016-10-11T16:08:00,"4300 Block Murray AV Pittsburgh, PA 15217",9093 Indirect Criminal Contempt,"4300 Block Tesla ST Pittsburgh, PA 15217",Greenfield,4,1517,5,3,-79.9367085509205,40.421069248182
3412,1978917,16225321,25,M,B,2016-12-02T12:22:00,"2000 Block Dellrose ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"2000 Block Dellrose ST Pittsburgh, PA 15210",Carrick,3,2901,4,4,-79.9873028311426,40.3946405766648
687,1974806,16152336,24,M,W,2016-08-15T08:23:00,"300 Block Meyran AV Pittsburgh, PA 15213",3502 Burglary.,"300 Block Meyran AV Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.9567029877009,40.4389437942784
3760,1979348,12219862,35,F,B,2016-12-23T22:14:00,"Penn AV & 16th ST Pittsburgh, PA 15222",2701 Simple Assault. / 2711 Domestic Violence,"Canoe WY Pittsburgh, PA 15224",Bloomfield,5,903,7,2,-79.9552365371311,40.4633673586557
3761,1979349,16103156,41,M,W,2016-12-26T09:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"2000 Block Centre AV Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.9799790972965,40.4435809421476
3762,1979350,16108104,47,F,W,2016-12-28T10:59:00,"600 Block First AV Pittsburgh, PA 15219",2705 Recklessy Endangering Another Person. / 3112 Traffic-Control Signals. / 3714 Careless Driving / 3735.1 Aggravated Assault While DUI / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3802(d)(3) DUI - Alcohol and Drug Combined - Impaired Ability,"Liberty AV & 9th ST Pittsburgh, PA 15222",Central Business District,2,201,6,6,-79.9979736554079,40.442936570177
689,1974860,16152714,28,M,O,2016-08-16T15:36:00,"2600 Block Winchester DR Pittsburgh, PA 15220","2702 Aggravated Assault. / 2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709.1 Stalking Conduct or Repeatedly Acts Including Follows","2600 Block Winchester DR Pittsburgh, PA 15220",Banksville,6,2023,2,5,-80.044137945154,40.4119649848861
3898,1979531,16231010,24,M,W,2017-01-07T17:30:00,"100 Block Herndon ST Pittsburgh, PA 15220",2709.1 Stalking Conduct or Repeatedly Acts Including Follows,"600 Block Noblestown RD Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.0396626050321,40.4372281556355
1631,1976523,16182442,37,M,W,2016-09-26T22:40:00,"East Liberty BL & N Euclid AV Pittsburgh, PA 15206",3334 Turning Movements and Required Signals. / 3702 Limitations on Backing. / 13(a)(32) Paraphernalia - Use or Possession,"East Liberty BL & N Euclid AV Pittsburgh, PA 15206",East Liberty,5,1113,9,2,-79.9252766937597,40.4667728565125
5800,1981849,17030312,70,M,W,2017-02-22T15:55:00,"Ohio River BL & Mckees Rocks BRDG Pittsburgh, PA 15212",3743 Accidents Involving Damage to Attended Veh. or Property,"Ohio River BL & Mckees Rocks BRDG Pittsburgh, PA 15212",Brighton Heights,1,2701,1,1,-80.0430359425789,40.4789240169674
1633,1976525,16065361,23,M,B,2016-10-15T11:35:00,"600 Block First AV Pittsburgh, PA 15219",2701 Simple Assault. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"East Liberty BL & Collins AV Pittsburgh, PA 15206",East Liberty,5,1113,9,2,-79.9198562682069,40.4651311293533
3413,1978918,16225740,38,M,W,2016-12-03T00:24:00,"300 Block W North AV Pittsburgh, PA 15212",9501 Bench Warrant,"300 Block W North AV Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.0096402728326,40.4549486918507
4906,1980746,17010732,26,M,B,2017-02-02T13:12:00,"600 Block 1st AV Pittsburgh, PA 15219",4952 Intimidation of Witnesses or Victims,"2000 Block De Ruad ST Pittsburgh, PA 15219",West Oakland,4,402,2,5,-80.0419068765953,40.4516739240781
6384,1982576,17041596,40,M,W,2017-03-07T12:48:00,"S 24th ST & Josephine ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance,"S 24th ST & Josephine ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,4,-79.9721684679617,40.424647062406
2378,1977516,16198302,16,M,B,2016-11-01T08:00:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"2300 Block BRIGHTON RD PITTSBURGH, PA 15212",Marshall-Shadeland,1,2704,6,1,-80.0238385437119,40.4647273367565
3901,1979534,16236252,26,F,B,2016-12-20T10:30:00,"3300 Block Liberty AV Pittsburgh, PA 15201",903 Criminal Conspiracy. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"3300 Block Liberty AV Pittsburgh, PA 15201",Lower Lawrenceville,2,603,7,6,-79.9672122315216,40.4612421807833
3415,1978920,16225808,25,M,B,2016-12-03T03:07:00,"Reedsdale ST & Lighthill ST Pittsburgh, PA 15233",3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,"Reedsdale ST & Lighthill ST Pittsburgh, PA 15233",Chateau,1,2108,6,1,-80.0236549934697,40.448688067287
2092,1977124,16195043,33,F,B,2016-10-15T14:30:00,"Liberty AV Pittsburgh, PA 15222",903 Criminal Conspiracy. / 907 Possessing Instruments of Crime. / 5902(a)(1) Prostitution ,"Liberty AV & Commonwealth PL Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.0067519803647,40.4408419798839
5308,1981238,17021239,61,M,W,2017-02-03T22:06:00,"4400 Block Cherryland ST Pittsburgh, PA 15214",3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,"4400 Block Cherryland ST Pittsburgh, PA 15214",Summer Hill,1,2612,1,1,-80.0089481720114,40.4965002546926
1023,1975736,16166937,34,M,W,2016-09-04T18:25:00,"Allegheny Ave & Western Ave AV Pittsburgh, PA 15232",1543 Driving While Operating Privilege is Suspended or Revoked. / 3525 Protective Equipment for Motorcycle Riders. / 4914(A) False Identification to Law Enforcement / 3802(d)(3) DUI - Alcohol and Drug Combined - Impaired Ability,"Allegheny Ave & Western Ave AV Pittsburgh, PA 15232",Allegheny West,1,2201,1,1,-80.0188971906991,40.4515177370965
1025,1975738,16171024,20,M,W,2016-09-10T11:48:00,"100 Block Art Rooney AV Pittsburgh, PA 15212",13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"100 Block Art Rooney AV Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.0163162286534,40.4463146527231
1030,1975743,16171330,31,M,W,2016-09-10T18:39:00,"70 Block S 27th ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"70 Block S 27th ST Pittsburgh, PA 15203",South Side Flats,3,1609,3,4,-79.9683167218905,40.4242787053747
5802,1981851,16221186,35,M,B,2017-02-23T18:30:00,"900 Block 2nd AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"2300 Block Candace ST Pittsburgh, PA 15216",Beechview,6,1920,4,5,-80.0321467014957,40.4025319127848
5803,1981852,17030700,36,F,W,2017-02-19T02:20:00,"Penn AV & S Atlantic AV Pittsburgh, PA 15224",1543 Driving While Operating Privilege is Suspended or Revoked. / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,"Penn AV & S Atlantic AV Pittsburgh, PA 15224",Bloomfield,5,809,7,2,-79.9386108681356,40.4645462513755
6424,1982633,17042669,28,F,W,2017-03-08T22:00:00,"Josephine ST & S 21st ST Pittsburgh, PA 15203",13(a)(32) Paraphernalia - Use or Possession,"Josephine ST & S 21st ST Pittsburgh, PA 15203",South Side Slopes,3,1608,3,4,-79.976652637134,40.4249231795093
29,1974694,16145933,31,M,B,2016-08-06T00:45:00,"Walter ST & Manton WY Pittsburgh, PA 15210",2702 Aggravated Assault.,"700 Block Proctor WY Pittsburgh, PA 15210",Allentown,3,1803,3,4,-79.9957697080652,40.4203024796516
692,1974995,16134891,21,M,B,2016-09-06T13:50:00,"Manton WY & Asteroid WY Pittsburgh, PA 15210",9015 Failure To Appear/Arrest on Attachment Order,"Middle ST & Foreland ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.9993894138071,40.4545687305848
1031,1975744,16170035,31,M,B,2016-09-09T07:15:00,"1900 Block Woodward AV Pittsburgh, PA 15226",13(a)(31) Marijuana: Possession Small Amount,"1900 Block Woodward AV Pittsburgh, PA 15226",Brookline,6,1917,4,4,-80.0173188506911,40.4047148027066
1032,1975745,16171063,39,F,W,2016-09-10T13:17:00,"3400 Block Gass AV Pittsburgh, PA 15212",2701 Simple Assault.,"3400 Block Gass AV Pittsburgh, PA 15212",Brighton Heights,1,2703,1,1,-80.0346127332968,40.4770874507623
3768,1979356,16209043,30,M,B,2016-12-22T04:00:00,"900 Block 2nd AV Pittsburgh, PA 15219",2701 Simple Assault. / 2706 Terroristic Threats.,"100 Block N St Clair ST Pittsburgh, PA 15206",East Liberty,5,1115,9,2,-79.9274648656083,40.4649382674773
1634,1976526,16071883,,M,B,2016-10-15T14:10:00,"900 Block 2nd AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition.,"7400 Block Monticello ST Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.8910126418544,40.4583136296126
5045,1980910,17015538,18,M,W,2017-01-26T00:33:00,"600 Block Mifflin RD Pittsburgh, PA 15207",3921 Theft by Unlawful Taking or Disposition.,"600 Block Mifflin RD Pittsburgh, PA 15207",New Homestead,4,3103,5,3,-79.9300868764498,40.3828181163024
1636,1976528,16133953,41,M,W,2016-10-14T09:34:00,"900 Block 2nd AV Pittsburgh, PA 15219",2705 Recklessy Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children.,"2600 Block Palisade LANE Pittsburgh, PA 15214",Perry South,1,2615,6,1,-80.0193453658063,40.4687106536148
3430,1978935,16179695,27,F,B,2016-12-12T10:20:00,"600 Block 1ST AV Pittsburgh, PA 15219",907 Possessing Instruments of Crime. / 2705 Recklessy Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,"1700 Block Belleau DR Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00698007108,40.4603025785269
2381,1977519,16193913,17,F,B,2016-11-02T19:25:00,"Kentucky AV & College AV Pittsburgh, PA 15232",903 Criminal Conspiracy. / 3701 Robbery.,"Kentucky AV & College AV Pittsburgh, PA 15232",Shadyside,4,706,8,2,-79.9262055871325,40.4518860643798
1638,1976530,16146650,46,M,B,2016-10-15T00:26:00,"900 Block 2nd AV Pittsburgh, PA 15219",2701 Simple Assault. / 2606(a) Aggravated Assault on Unborn Child,"2600 Block Centre AV Pittsburgh, PA 15219",Terrace Village,2,510,6,3,-79.9684168662163,40.4465330017294
3912,1979545,16237940,37,F,W,2017-01-04T03:50:00,"600 Block 1st AV Pittsburgh, PA 15219",3743 Accidents Involving Damage to Attended Veh. or Property,"Mission St BRDG & Sterling ST Pittsburgh, PA 15203",South Side Slopes,3,1706,,,0.0,0.0
3913,1979546,16237967,18,M,B,2016-12-23T01:16:00,"Penn AV & N Lang AV Pittsburgh, PA 15208",13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 13(a)(32) Paraphernalia - Use or Possession,"Penn AV & N Lang AV Pittsburgh, PA 15208",Point Breeze North,4,1405,9,3,-79.9037613318484,40.4499979469059
5309,1981239,17021243,27,M,B,2017-02-03T21:40:00,"Colwell ST & Miller ST Pittsburgh, PA 15219",4910 Tampering with or Fabricating Physical Evidence. / 1501 Drivers Required to be Licensed. / 4303 General Lighting Requirements. / 13(a)(31) Marijuana: Possession Small Amount,"Colwell ST & Miller ST Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.9820659203729,40.4391103224076
5312,1981256,17021858,26,M,B,2017-02-04T23:00:00,"300 Block N Craig ST Pittsburgh, PA 15213",2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 3353 Prohibitions in Specified Places.,"300 Block N Craig ST Pittsburgh, PA 15213",North Oakland,4,507,8,3,-79.9493872433643,40.4455906511163
698,1975186,16033021,39,M,B,2016-09-12T02:44:00,"7700 Block Penn AV Pittsburgh, PA 15221",1501 Drivers Required to be Licensed. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 4703 Operation of Vehicle without Official Certif. of Inspection / 13(a)(31) Marijuana: Possession Small Amount,"500 Block N Highland AV Pittsburgh, PA 15206",East Liberty,5,1113,8,2,-79.9249611744859,40.4530108399908
1639,1976531,16148184,38,M,W,2016-10-14T22:48:00,"1500 Block Eckert ST Pittsburgh, PA 15212","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","4200 Block Evergreen RD Pittsburgh, PA 15214",Summer Hill,1,2612,1,1,-80.0070191589319,40.4938564150345
1640,1976532,16152586,38,M,W,2016-10-14T22:48:00,"1500 Block Eckert ST Pittsburgh, PA 15212",3929 Retail Theft.,"2900 Block Brighton RD Pittsburgh, PA 15212",Marshall-Shadeland,1,2715,1,1,-80.0270252873704,40.4718460933799
3439,1978944,16216805,35,M,B,2016-12-15T03:15:00,"900 Block 2nd AV Pittsburgh, PA 15219","2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","1600 Block Crucible ST Pittsburgh, PA 15220",Crafton Heights,6,2814,2,5,-80.0517839498545,40.4475023347192
3915,1979548,16238039,51,M,B,2016-12-23T04:30:00,"200 Block Atwood ST Pittsburgh, PA 15213",3929 Retail Theft.,"200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.9568888662713,40.4404204065315
3916,1979549,16238041,30,M,B,2016-12-23T04:30:00,"Kelly ST & N Murtland ST Pittsburgh, PA 15208",9501 Bench Warrant,"Kelly ST & N Murtland ST Pittsburgh, PA 15208",Homewood West,5,1207,9,2,-79.9018429742591,40.4566194916615
5318,1981262,17020250,10,M,O,2017-02-02T13:10:00,"600 Block 1ST AV PITTSBURGH, PA 15219",2702 Aggravated Assault. / 5503 Disorderly Conduct.,"2300 Block BRIGHTON RD PITTSBURGH, PA 15212",Marshall-Shadeland,1,2704,6,1,-80.0238385437119,40.4647273367565
5319,1981263,17021874,50,M,B,2017-02-04T23:02:00,"7300 Block Penn AV Pittsburgh, PA 15208",5503 Disorderly Conduct. / 5505 Public Drunkenness / 3543 Pedestrians Crossing at Other Than Crosswalks. / 13(a)(32) Paraphernalia - Use or Possession / 3503(b.1) Criminal Trespass - Simple Trespasser,"7300 Block Penn AV Pittsburgh, PA 15208",Point Breeze,4,1406,9,3,-79.8991664387526,40.4479789517739
5320,1981264,17021888,31,F,W,2017-02-05T01:40:00,"300 Block S Main ST Pittsburgh, PA 15220","3502 Burglary. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","1600 Block Bellaire PL Pittsburgh, PA 15226",Brookline,6,3206,4,4,-80.0020378578937,40.3934216159713
5321,1981265,17021890,23,M,W,2017-02-04T23:45:00,"P J Mc Ardle RDWY & Liberty BRDG Pittsburgh, PA 15203",1332 Display of Registration Plate. / 3111 Obedience to Traffic-Control Devices. / 3112 Traffic-Control Signals. / 3334 Turning Movements and Required Signals. / 3361  Driving Vehicle at Safe Speed. / 3714 Careless Driving / 3802(a)(1) DUI - General Impairment,"P J Mc Ardle RDWY & Liberty BRDG Pittsburgh, PA 15203",South Side Slopes,3,1706,3,4,-79.999267725762,40.4291469437618
5322,1981266,17020824,15,M,B,2017-02-03T09:30:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"3800 Block PERRYSVILLE AV PITTSBURGH, PA 15214",Perry North,1,2602,1,1,-80.0160208901073,40.4875513198459
1643,1976535,16173618,27,M,B,2016-10-15T06:40:00,"900 Block 2nd AV Pittsburgh, PA 15219",2701 Simple Assault.,"2300 Block Colorado ST Pittsburgh, PA 15212",Marshall-Shadeland,1,2704,1,1,-80.0304680242882,40.462764827319
1645,1976537,16175369,22,F,B,2016-10-17T10:45:00,"600 Block 1st AV Pittsburgh, PA 15219",5105 Hindering Apprehension or Prosecution.,"2800 Block Banksville RD Pittsburgh, PA 15216",Banksville,6,2023,2,5,-80.0401454734132,40.4049149401283
1646,1976538,16177862,34,M,W,2016-10-14T10:00:00,"600 Block First AV Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs. / 3743 Accidents Involving Damage to Attended Veh. or Property,"Penn AV & 29th ST Pittsburgh, PA 15222",Strip District,2,203,7,6,-79.9741993746292,40.4578370826477
3922,1979560,16236338,45,M,W,2016-12-20T13:24:00,"Fallowfield AV & Bayonne AV Pittsburgh, PA 15216",2701 Simple Assault.,"1500 Block Dagmar AV Pittsburgh, PA 15216",Beechview,6,1916,4,5,-80.0228941583302,40.4130108221715
1647,1976539,16180143,44,M,W,2016-10-15T14:40:00,"6200 Block Penn AV Pittsburgh, PA 15206",3502 Burglary.,"900 Block Ahlers WY Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.9936943420542,40.456527466243
5048,1980913,17018866,23,M,W,2017-01-31T10:31:00,"2600 Block Saw Mill Run BL Pittsburgh, PA 15227",3714 Careless Driving / 3802(a)(1) DUI - General Impairment / 3802(b) DUI - High Rate of Alchol - BAC >=.10% <.16%,"2600 Block Saw Mill Run BL Pittsburgh, PA 15227",Overbrook,3,3204,4,4,-79.9938882985336,40.3797680352738
3771,1979359,16237906,17,M,B,2016-12-22T22:52:00,"10th St BRDG & 2nd AV Pittsburgh, PA 15203","907 Possessing Instruments of Crime. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 6110.1 Possesion of Firearm by Minor / 6110.2 Possesion of Firearm with Altered Mfg. Number","10th St BRDG & 2nd AV Pittsburgh, PA 15203",South Side Flats,3,1702,,,0.0,0.0
5056,1980921,17019168,21,M,B,2017-01-31T18:38:00,"Moultrie ST & Forbes AV Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"Moultrie ST & Forbes AV Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.9744900800395,40.4371970042149
5760,1981791,17032580,16,M,B,2017-02-22T09:56:00,"3800 Block O Hara ST Pittsburgh, PA 15213","2702 Aggravated Assault. / 2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 13(a)(16) Possession of Controlled Substance / 9497 Aided Case","800 Block Kirkbride ST Pittsburgh, PA 15212",California-Kirkbride,1,2507,6,1,-80.0179971696132,40.460247580435
5808,1981858,15219005,24,F,W,2017-03-01T22:33:00,"900 Block 2nd AV Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 3802(a)(1) DUI - General Impairment,"S Negley AV & Eva ST Pittsburgh, PA 15206",Friendship,5,807,9,2,-79.9313968736003,40.4623170826657
